id_noeud,lat,lon,id_station,lat_station,lon_station,distance_station,type_station,number_route,path1,path2
1,665519.0,7109268.0,0,0,0,0,,1,1,0
3,672126.0,7108551.0,0,0,0,0,,1,3,0
6,665781.0,7107325.0,0,0,0,0,,4,3,5
8,669294.0,7106937.0,0,0,0,0,,1,9,0
9,667022.0,7105667.0,0,0,0,0,,4,7,9
15,655819.0,7103900.0,0,0,0,0,,3,6,17
18,652056.0,7103264.0,0,0,0,0,,3,17,21
19,643613.0,7103077.0,0,0,0,0,,1,23,0
23,656325.0,7102106.0,0,0,0,0,,4,11,25
24,649573.0,7101672.0,0,0,0,0,,3,21,29
25,652518.0,7101562.0,0,0,0,0,,4,22,27
31,650125.0,7100635.0,0,0,0,0,,3,30,32
32,640464.0,7100340.0,0,0,0,0,,3,39,40
33,643789.0,7100208.0,0,0,0,0,,3,29,39
34,643924.0,7099807.0,0,0,0,0,,3,23,42
36,669333.0,7099456.0,0,0,0,0,,3,10,45
39,637233.0,7099249.0,0,0,0,0,,3,47,49
42,639860.0,7098756.0,0,0,0,0,,3,51,53
43,632387.0,7098412.0,0,0,0,0,,3,49,55
46,620926.0,7097689.0,0,0,0,0,,1,58,0
47,645249.0,7097685.0,0,0,0,0,,4,38,43
50,659408.0,7097476.0,0,0,0,0,,3,28,63
51,659447.0,7097406.0,0,0,0,0,,3,46,64
57,660046.0,7096554.0,0,0,0,0,,3,68,69
58,617495.0,7096516.0,0,0,0,0,,3,71,74
59,642684.0,7096161.0,0,0,0,0,,4,54,61
70,619295.0,7095212.0,0,0,0,0,,3,71,88
71,645394.0,7095211.0,0,0,0,0,,4,81,82
72,627162.0,7095143.0,0,0,0,0,,3,56,92
75,618172.0,7095042.0,0,0,0,0,,4,74,88
78,620205.0,7094955.0,0,0,0,0,,3,92,98
79,643440.0,7094876.0,0,0,0,0,,3,77,99
81,659956.0,7094847.0,0,0,0,0,,4,31,78
83,643406.0,7094464.0,0,0,0,0,,3,101,106
85,618086.0,7094278.0,0,0,0,0,,4,97,109
