id_route,type_route,distance,id_noeud1,id_noeud2
1,Sans objet,2.5,1,6
3,Sans objet,6.6000000000000005,3,6
6,b'D\xe9partementale',10.7,6,15
7,b'D\xe9partementale',2.4,6,9
9,Autoroute,2.6,8,9
10,b'D\xe9partementale',7.2,9,36
11,Autoroute,11.6,9,23
17,b'D\xe9partementale',4.0,15,18
18,b'D\xe9partementale',1.9,15,23
21,b'D\xe9partementale',3.3,18,24
22,b'D\xe9partementale',1.8,18,25
23,Sans objet,3.8,19,34
27,Autoroute,3.9,23,25
28,b'D\xe9partementale',5.800000000000001,23,50
29,b'D\xe9partementale',6.1,24,33
30,b'D\xe9partementale',1.2,24,31
31,Nationale,10.5,25,81
32,Autoroute,2.6,25,31
38,Autoroute,6.2,31,47
39,b'D\xe9partementale',3.3,32,33
40,Sans objet,3.8,32,40
41,b'D\xe9partementale',1.8,32,42
42,Nationale,0.4,33,34
43,Nationale,2.5,34,47
45,b'D\xe9partementale',7.700000000000001,36,98
46,b'D\xe9partementale',10.6,36,51
47,b'D\xe9partementale',1.9000000000000001,41,39
49,b'D\xe9partementale',5.0,43,39
51,b'D\xe9partementale',3.8,39,42
54,b'D\xe9partementale',4.0,42,59
55,b'D\xe9partementale',5.3,43,93
56,b'D\xe9partementale',6.2,43,72
58,Sans objet,5.9,46,88
59,b'D\xe9partementale',2.8,47,71
60,Autoroute,3.4,47,59
63,b'D\xe9partementale',8.9,50,66
64,b'D\xe9partementale',0.1,50,51
65,b'D\xe9partementale',1.1,51,57
68,b'D\xe9partementale',12.2,57,98
71,Sans objet,3.2,70,58
73,b'D\xe9partementale',1.7,57,81
74,b'D\xe9partementale',1.7000000000000002,58,75
75,b'D\xe9partementale',16.1,58,124
76,Autoroute,10.0,59,93
77,b'D\xe9partementale',1.9,59,79
81,b'D\xe9partementale',7.0,71,65
88,Sans objet,1.1,70,75
89,Sans objet,1.0,70,78
90,b'D\xe9partementale',2.1,71,79
91,b'D\xe9partementale',2.2,71,96
92,Sans objet,6.8999999999999995,72,78
93,b'D\xe9partementale',1.4,72,89
96,Sans objet,6.1000000000000005,75,106
97,b'D\xe9partementale',0.8,75,85
100,b'D\xe9partementale',2.1,78,92
101,b'D\xe9partementale',0.6,79,83
103,Autoroute,16.0,81,146
104,b'D\xe9partementale',1.1,81,91
106,b'D\xe9partementale',2.3,83,96
107,b'D\xe9partementale',12.4,83,130
109,Autoroute,3.9,85,92
110,b'D\xe9partementale',11.0,85,135
111,Autoroute,5.3,85,106
114,Autoroute,4.5,88,89
115,Autoroute,1.1,88,92
116,Autoroute,17.6,88,159
117,Autoroute,5.9,89,93
119,b'D\xe9partementale',10.4,91,134
120,b'D\xe9partementale',16.400000000000002,91,187
121,b'D\xe9partementale',11.8,92,137
122,b'D\xe9partementale',5.9,93,125
125,b'D\xe9partementale',12.3,96,134
126,b'D\xe9partementale',17.900000000000002,96,210
128,b'D\xe9partementale',6.9,98,121
129,b'D\xe9partementale',10.1,98,146
137,Autoroute,11.8,106,152
154,b'D\xe9partementale',16.0,124,209
155,b'D\xe9partementale',7.4,124,152
156,b'D\xe9partementale',2.0,125,126
157,b'D\xe9partementale',8.0,125,139
165,b'D\xe9partementale',12.5,134,183
166,b'D\xe9partementale',16.6,134,239
167,b'D\xe9partementale',14.599999999999998,135,156
168,b'D\xe9partementale',7.6,135,137
170,b'D\xe9partementale',0.5,137,139
172,b'D\xe9partementale',6.699999999999999,139,157
173,b'D\xe9partementale',17.5,139,248
180,Autoroute,3.9,146,175
181,b'D\xe9partementale',3.6,146,177
182,Sans objet,4.9,147,170
187,b'D\xe9partementale',1.7999999999999998,152,155
188,Autoroute,2.3,152,171
192,Sans objet,0.2,157,159
193,b'D\xe9partementale',10.6,157,210
195,Autoroute,14.0,159,322
197,b'D\xe9partementale',1.4,161,170
200,Sans objet,4.0,164,204
202,b'D\xe9partementale',13.7,171,253
207,b'D\xe9partementale',4.2,170,175
208,Autoroute,5.5,171,216
